Season,DayNum,TeamID,OppTeamID,Line,OU,is_neutral,tm_hca
2010,138.0,1388,1437,4.5,152.5,1,0
2010,138.0,1325,1397,8.5,143.5,1,0
2010,138.0,1449,1307,-2.5,151,1,0
2010,139.0,1165,1458,4.0,126.5,1,0
2010,139.0,1143,1181,6.5,148,1,0
2010,139.0,1277,1268,1.0,147,1,0
2010,139.0,1210,1326,6.5,134.5,1,0
2010,139.0,1401,1345,-2.5,127,1,0
2010,139.0,1211,1393,6.5,148,1,0
2010,139.0,1281,1452,6.0,138.5,1,0
2010,139.0,1462,1338,1.5,134.5,1,0
2010,143.0,1139,1393,6.0,137.5,1,0
2010,143.0,1462,1243,5.0,150.5,1,0
2010,143.0,1165,1246,8.5,146.5,1,0
2010,143.0,1449,1452,4.5,140.5,1,0
2010,144.0,1388,1124,5.0,141.5,1,0
2010,144.0,1345,1181,8.5,127.5,1,0
2010,144.0,1320,1277,1.5,121.5,1,0
2010,144.0,1397,1326,4.5,137,1,0
2010,145.0,1139,1243,4.0,134.5,1,0
2010,145.0,1452,1246,4.5,134,1,0
2010,146.0,1124,1181,4.5,137.5,1,0
2010,146.0,1397,1277,-2.0,135.5,1,0
2010,152.0,1277,1139,1.5,126,0,0
2010,152.0,1452,1181,2.5,130.5,1,0
2010,154.0,1139,1181,7.0,128,1,0
2011,134.0,1412,1155,4.5,124,1,0
2011,134.0,1421,1114,-4.5,130,1,0
2011,135.0,1106,1427,3.0,129,1,0
2011,135.0,1433,1425,4.0,127,1,0
2011,136.0,1330,1139,-1.5,123,1,0
2011,136.0,1459,1140,8.5,148,1,0
2011,136.0,1281,1153,1.0,141,1,0
2011,136.0,1137,1163,10.5,133.5,1,0
2011,136.0,1364,1196,12.5,130,1,0
2011,136.0,1211,1385,0.0,135.5,1,0
2011,136.0,1429,1243,1.5,128.5,1,0
2011,136.0,1343,1246,13.0,132.5,1,0
2011,136.0,1287,1257,9.5,132.5,1,0
2011,136.0,1421,1338,18.5,134,1,0
2011,136.0,1350,1435,3.0,135,1,0
2011,136.0,1294,1361,14.5,130.5,1,0
2011,136.0,1336,1396,2.0,118,1,0
2011,136.0,1277,1417,-1.0,131,1,0
2011,136.0,1155,1452,2.0,124.5,1,0
2011,136.0,1125,1458,4.0,128.5,1,0
2011,137.0,1272,1112,5.5,140,1,0
2011,137.0,1214,1181,25.0,135,1,0
2011,137.0,1199,1401,0.0,121.5,1,0
2011,137.0,1437,1206,-2.0,135.5,1,0
2011,137.0,1228,1424,2.0,134.5,1,0
2011,137.0,1131,1242,23.5,137,1,0
2011,137.0,1266,1462,1.0,141,1,0
2011,137.0,1397,1276,0.0,127.5,1,0
2011,137.0,1254,1314,18.5,158,1,0
2011,137.0,1103,1323,14.0,138,1,0
2011,137.0,1427,1326,25.5,139.5,1,0
2011,137.0,1389,1345,15.0,122.5,1,0
2011,137.0,1232,1393,13.0,128.5,1,0
2011,137.0,1324,1400,10.0,157,1,0
2011,137.0,1433,1207,5.5,136,1,0
2011,137.0,1208,1449,6.0,146,1,0
2011,138.0,1139,1338,8.0,125.5,1,0
2011,138.0,1211,1140,1.0,150,1,0
2011,138.0,1153,1163,4.0,130.5,1,0
2011,138.0,1417,1196,5.0,135,1,0
2011,138.0,1452,1246,3.5,133.5,1,0
2011,138.0,1287,1350,4.5,124.5,1,0
2011,138.0,1396,1361,5.5,125.5,1,0
2011,138.0,1243,1458,3.5,124,1,0
2011,139.0,1112,1400,5.5,143,1,0
2011,139.0,1276,1181,13.0,135,1,0
2011,139.0,1199,1323,4.5,130,1,0
2011,139.0,1228,1242,8.0,143.5,1,0
2011,139.0,1266,1393,4.5,138,1,0
2011,139.0,1449,1314,3.5,159,1,0
2011,139.0,1206,1326,11.5,136.5,1,0
2011,139.0,1433,1345,10.0,134,1,0
2011,143.0,1112,1181,9.5,148,1,0
2011,143.0,1139,1458,4.5,124.5,1,0
2011,143.0,1163,1361,2.0,130,1,0
2011,143.0,1140,1196,2.5,148.5,1,0
2011,144.0,1350,1242,10.5,136,1,0
2011,144.0,1246,1326,5.5,142,1,0
2011,144.0,1266,1314,4.0,150.5,1,0
2011,144.0,1433,1199,4.5,130,1,0
2011,145.0,1139,1196,4.0,134.5,1,0
2011,145.0,1112,1163,3.5,147,1,0
2011,146.0,1246,1314,-1.5,146,1,0
2011,146.0,1433,1242,11.5,145,1,0
2011,152.0,1433,1139,3.5,132,1,0
2011,152.0,1246,1163,-2.5,139,1,0
2011,154.0,1139,1163,3.0,132,1,0
2012,134.0,1233,1140,1.5,162,1,0
2012,134.0,1290,1443,3.5,138,1,0
2012,134.0,1290,1443,3.5,138,1,0
2012,135.0,1378,1143,3.0,114,1,0
2012,135.0,1249,1436,-2.0,129,1,0
2012,136.0,1160,1424,5.5,136.5,1,0
2012,136.0,1452,1211,-1.5,133,1,0
2012,136.0,1308,1231,6.0,155.5,1,0
2012,136.0,1163,1235,-2.0,137,1,0
2012,136.0,1379,1243,5.5,136,1,0
2012,136.0,1443,1246,26.5,136.5,1,0
2012,136.0,1443,1246,26.5,136.5,1,0
2012,136.0,1172,1257,5.5,139.5,1,0
2012,136.0,1140,1266,5.0,154,1,0
2012,136.0,1161,1293,5.0,138,1,0
2012,136.0,1253,1307,4.5,138.5,1,0
2012,136.0,1259,1326,17.5,131.5,1,0
2012,136.0,1421,1393,15.5,148,1,0
2012,136.0,1433,1455,7.5,137.5,1,0
2012,136.0,1217,1435,5.5,124,1,0
2012,136.0,1285,1458,8.5,117,1,0
2012,137.0,1400,1153,3.0,129.5,1,0
2012,137.0,1104,1166,1.0,136.5,1,0
2012,137.0,1438,1196,2.5,123,1,0
2012,137.0,1382,1199,6.5,130,1,0
2012,137.0,1125,1207,3.5,137,1,0
2012,137.0,1178,1242,13.5,143.5,1,0
2012,137.0,1250,1181,11.0,148.5,1,0
2012,137.0,1254,1277,18.5,153,1,0
2012,137.0,1301,1361,-2.5,138,1,0
2012,137.0,1313,1281,21.0,144.5,1,0
2012,137.0,1436,1314,15.5,144,1,0
2012,137.0,1325,1276,5.5,126.5,1,0
2012,137.0,1345,1388,2.0,141,1,0
2012,137.0,1378,1396,3.0,121,1,0
2012,137.0,1387,1272,2.5,127.5,1,0
2012,137.0,1462,1323,2.0,123.5,1,0
2012,138.0,1160,1124,8.0,133.5,1,0
2012,138.0,1433,1231,5.5,141,1,0
2012,138.0,1235,1246,12.0,142,1,0
2012,138.0,1307,1257,2.0,127.5,1,0
2012,138.0,1293,1266,5.5,142.5,1,0
2012,138.0,1211,1326,7.5,136,1,0
