AdjEM,AdjOE,AdjDE,AdjTempo,Season,TeamID
-4.63174,99.2859,103.91799999999999,67.61,2019,1165
-17.6684,99.7496,117.41799999999999,62.1684,2002,1171
-12.3011,95.8343,108.135,60.5454,2003,1171
-24.2992,87.4667,111.766,62.3299,2004,1171
-12.542,94.4812,107.023,61.0273,2005,1171
-15.9398,94.5392,110.479,61.7678,2006,1171
-13.7921,94.1128,107.905,63.3982,2007,1171
-15.8784,92.2791,108.15799999999999,63.9365,2008,1171
-16.0853,92.4331,108.51799999999999,63.7769,2009,1171
-24.5973,81.94,106.537,63.0172,2010,1171
-16.4927,90.1168,106.61,65.6436,2011,1171
-12.8759,91.022,103.898,61.9403,2012,1171
-10.3003,96.3169,106.617,62.3983,2013,1171
-5.03716,103.196,108.23299999999999,63.1183,2014,1171
-0.32914,101.471,101.8,62.6714,2015,1171
-6.1591,99.0809,105.24,67.4478,2016,1171
-12.9633,99.1684,112.132,67.2934,2017,1171
-12.1529,98.7331,110.88600000000001,66.7574,2018,1171
-4.64905,103.57700000000001,108.226,65.7763,2019,1171
-18.1383,88.9676,107.10600000000001,65.0224,2002,1384
-9.908710000000001,94.385,104.294,69.3283,2003,1384
-11.0656,99.8502,110.916,63.9656,2004,1384
-9.59567,104.337,113.93299999999999,64.156,2005,1384
-21.8218,93.556,115.37799999999999,60.1055,2006,1384
-15.6454,98.4658,114.111,64.0717,2007,1384
-17.2001,96.9409,114.141,60.2166,2008,1384
-19.26,94.0092,113.26899999999999,61.5815,2009,1384
-16.5916,94.9432,111.535,63.3129,2010,1384
-10.5233,98.853,109.376,65.335,2011,1384
-15.6228,94.7689,110.39200000000001,62.2769,2012,1384
-19.1645,93.4479,112.61200000000001,61.4367,2013,1384
-14.8756,95.8553,110.73100000000001,61.4087,2014,1384
-4.6012699999999995,98.9961,103.59700000000001,62.443999999999996,2015,1384
-12.979000000000001,100.175,113.154,66.0859,2016,1384
-7.92823,102.01100000000001,109.939,69.9754,2017,1384
-3.70886,107.492,111.2,68.0926,2018,1384
-8.12202,105.25399999999999,113.376,68.0578,2019,1384
-18.2398,95.5427,113.78299999999999,71.928,2002,1157
-10.8344,98.2842,109.119,65.4484,2003,1157
-7.196680000000001,97.839,105.036,66.9545,2004,1157
-12.0349,99.2802,111.315,67.7618,2005,1157
-0.9281959999999999,106.29,107.21799999999999,61.18600000000001,2006,1157
-7.93923,102.257,110.196,65.9262,2007,1157
-12.3287,99.0216,111.35,62.9516,2008,1157
-11.3665,95.7909,107.15700000000001,65.5142,2009,1157
3.15768,102.09299999999999,98.9354,62.5502,2010,1157
5.411169999999999,104.83200000000001,99.4205,66.2508,2011,1157
-2.43367,101.89399999999999,104.32799999999999,63.1913,2012,1157
-5.86135,97.7113,103.573,63.06399999999999,2013,1157
-5.9726099999999995,97.0064,102.979,65.898,2014,1157
1.6211,105.42399999999999,103.803,63.6717,2015,1157
-0.13441,103.851,103.986,66.4012,2016,1157
-2.78741,102.46600000000001,105.25299999999999,67.8916,2017,1157
-4.07686,102.10799999999999,106.185,67.7749,2018,1157
-0.14549600000000001,104.868,105.014,69.3727,2019,1157
-18.6468,96.4763,115.12299999999999,67.4732,2002,1185
-3.6701,104.116,107.786,72.8703,2003,1185
-4.83245,98.9035,103.736,68.3146,2004,1185
-2.6406400000000003,103.681,106.322,70.19800000000001,2005,1185
-9.35843,99.8603,109.219,64.9061,2006,1185
-6.7884,97.9345,104.723,65.164,2007,1185
-2.31414,104.552,106.866,61.8152,2008,1185
-14.9587,89.7372,104.696,60.5676,2009,1185
-1.3639,99.8174,101.181,64.8814,2010,1185
-10.9199,88.6324,99.5523,66.5158,2011,1185
-8.695139999999999,90.2934,98.9885,58.4206,2012,1185
-5.7721,92.9026,98.6747,58.3423,2013,1185
4.47806,98.2676,93.7895,63.3998,2014,1185
3.25862,101.383,98.1242,65.4789,2015,1185
1.37971,106.507,105.12799999999999,70.3291,2016,1185
1.24215,105.999,104.757,68.0465,2017,1185
2.08468,103.38,101.296,64.5311,2018,1185
0.742492,103.46600000000001,102.723,62.7783,2019,1185
-18.6728,92.6896,111.36200000000001,70.9242,2002,1389
-8.12492,100.37,108.495,71.2654,2003,1389
-0.932732,107.428,108.36,68.1246,2004,1389
-1.42874,104.11399999999999,105.542,72.8364,2005,1389
0.6695720000000001,105.927,105.257,66.1912,2006,1389
-17.2224,88.80799999999999,106.03,63.3818,2007,1389
-11.7409,94.4837,106.225,66.4295,2008,1389
-9.45968,93.184,102.64399999999999,61.9909,2009,1389
-0.413217,92.4659,92.8791,63.7398,2010,1389
3.2418299999999998,95.0018,91.7599,64.6119,2011,1389
-17.304000000000002,89.1096,106.414,62.6944,2012,1389
-11.0154,92.7487,103.764,62.0583,2013,1389
-6.17469,97.4384,103.613,60.7124,2014,1389
-2.02252,99.3685,101.391,59.9205,2015,1389
-4.7584599999999995,96.6852,101.444,64.4671,2016,1389
4.84357,102.57,97.7262,60.6549,2017,1389
-4.82757,95.946,100.774,62.5653,2018,1389
-13.6552,94.4771,108.132,63.1308,2019,1389
