Rank,Team,Conf,Record,Conf Record,Rk Points
342,Kennesaw St,ASUN,5 - 19,2 - 13,-16.25
343,Incarnate Word,SLND,8 - 13,5 - 9,-16.58
344,Cal Poly,BW,3 - 19,1 - 15,-16.94
345,Mcneese State,SLND,10 - 13,4 - 11,-17.14
346,Houston Baptist,SLND,5 - 18,4 - 11,-17.2
347,Texas AM CC,SLND,5 - 19,2 - 13,-17.68
348,Alabama AM,SWAC,6 - 9,4 - 9,-17.95
349,Arkansas Pine Bluff,SWAC,4 - 20,3 - 12,-19.8
350,Denver,SUM,2 - 19,1 - 13,-20.52
351,Idaho,BSky,1 - 20,1 - 17,-20.73
352,Alabama State,SWAC,4 - 14,4 - 14,-21.6
353,Maryland Eastern Shore,MEAC,0 - 0,0 - 0,-21.89
354,Delaware State,MEAC,3 - 16,1 - 11,-22.06
355,South Carolina State,MEAC,1 - 17,1 - 7,-22.73
356,Chicago State,WAC,0 - 9,0 - 0,-27.29
357,Mississippi Valley State,SWAC,2 - 21,2 - 13,-30.3
