Season,Date,Team1,Team2,Home_Team,Favorite,Line,Team1_Score,Team2_Score,OU,is_neutral,MoV,TeamID1,TeamID2
2008,1111,NorthwesternSt,Harvard,None,NorthwesternSt,-5.5,60.0,90.0,161,1,-30.0,1322,1217
2008,1111,CalSantaBarb,Stanford,Stanford,Stanford,15.5,48.0,67.0,139.5,0,-19.0,1364,1390
2008,1111,WesternMichigan,Pepperdine,None,WesternMichigan,-9.0,70.0,65.0,166.5,1,5.0,1444,1337
2008,1111,Pacific,Oregon,Oregon,Oregon,15.5,64.0,80.0,148.5,0,-16.0,1334,1332
2008,1111,Belmont,WesternCarolina,None,Belmont,-2.0,79.0,70.0,142.5,1,9.0,1125,1441
2008,1111,BowlingGreen,Cincinnati,Cincinnati,Cincinnati,8.0,69.0,67.0,137,0,2.0,1132,1153
2008,1111,Hampton,Tulsa,None,Tulsa,9.5,72.0,55.0,126.5,1,17.0,1214,1409
2008,1111,NorthFlorida,Maryland,Maryland,Maryland,33.0,50.0,79.0,133,0,-29.0,1316,1268
2008,1111,Pennsylvania,LoyolaMaryland,LoyolaMaryland,LoyolaMaryland,5.0,68.0,89.0,145,0,-21.0,1335,1259
2008,1111,TennesseeTech,Florida,Florida,Florida,17.0,65.0,93.0,146,0,-28.0,1399,1196
2008,1111,Samford,Evansville,Evansville,Evansville,10.0,50.0,49.0,124,0,1.0,1359,1191
2008,1111,Montana,Gonzaga,Gonzaga,Gonzaga,12.0,54.0,77.0,142.5,0,-23.0,1285,1211
2008,1111,Delaware,Marist,Marist,Marist,10.0,78.0,89.0,141,0,-11.0,1174,1265
2008,1111,GeorgiaTech,TennesseeState,TennesseeState,GeorgiaTech,-8.0,99.0,85.0,144,0,14.0,1210,1398
2008,1112,FlaAtlantic,BostonCollege,BostonCollege,BostonCollege,16.0,62.0,68.0,146.5,0,-6.0,1194,1130
2008,1112,NewMexicoState,Duke,Duke,Duke,20.5,61.0,86.0,155,0,-25.0,1308,1181
2008,1112,ArkansasLR,LoyolaMarymount,LoyolaMarymount,ArkansasLR,-2.5,71.0,40.0,131,0,31.0,1114,1258
2008,1112,NorthFlorida,Tulsa,None,Tulsa,17.0,66.0,83.0,118.5,1,-17.0,1316,1409
2008,1112,Hampton,Maryland,Maryland,Maryland,16.0,64.0,70.0,146.5,0,-6.0,1214,1268
2008,1112,DelawareState,Columbia,None,Columbia,3.0,41.0,47.0,121.5,1,-6.0,1175,1162
2008,1112,WiscGreenBay,OhioState,OhioState,OhioState,14.5,68.0,91.0,140,0,-23.0,1453,1326
2008,1112,Siena,Syracuse,Syracuse,Syracuse,13.5,89.0,97.0,157.5,0,-8.0,1373,1393
2008,1112,FairDickinson,St.Josephs,None,St.Josephs,17.5,66.0,86.0,139,1,-20.0,1192,1386
2008,1112,Pacific,Pepperdine,None,Pacific,-9.0,84.0,76.0,152,1,8.0,1334,1337
2008,1112,WesternMichigan,Oregon,Oregon,Oregon,15.0,88.0,97.0,156,0,-9.0,1444,1332
2008,1112,CentralMichigan,Missouri,Missouri,Missouri,15.5,76.0,87.0,150,0,-11.0,1141,1281
2008,1112,YoungstownState,UCLA,UCLA,UCLA,28.5,52.0,83.0,123.5,0,-31.0,1464,1417
2008,1112,GeorgiaSouthern,FloridaState,FloridaState,FloridaState,17.5,67.0,92.0,143,0,-25.0,1204,1199
2008,1112,TennesseeChat,IndianaU,IndianaU,IndianaU,22.5,79.0,99.0,138,0,-20.0,1151,1231
2008,1112,AppalachianSt,NCCharlotte,NCCharlotte,NCCharlotte,3.5,78.0,84.0,140,0,-6.0,1111,1150
2008,1112,TheCitadel,SouthCarolina,SouthCarolina,SouthCarolina,23.5,42.0,103.0,135.5,0,-61.0,1154,1376
2008,1112,Furman,Clemson,Clemson,Clemson,24.5,46.0,91.0,134,0,-45.0,1202,1155
2008,1112,E.Washington,NewMexico,NewMexico,NewMexico,21.0,57.0,92.0,138.5,0,-35.0,1186,1307
2008,1113,Vanderbilt,Toledo,Toledo,Vanderbilt,-5.0,77.0,70.0,135.5,0,7.0,1435,1405
2008,1113,ClevelandState,GeorgeMason,GeorgeMason,GeorgeMason,13.0,47.0,56.0,130,0,-9.0,1156,1206
2008,1113,SouthFlorida,Buffalo,Buffalo,SouthFlorida,-2.0,69.0,76.0,149.5,0,-7.0,1378,1138
2008,1113,SouthAlabama,Mississippi,Mississippi,Mississippi,13.0,78.0,81.0,150.5,0,-3.0,1375,1279
2008,1113,Rice,TCU,TCU,TCU,13.0,49.0,76.0,141.5,0,-27.0,1349,1395
2008,1113,Richmond,EastCarolina,EastCarolina,EastCarolina,4.0,67.0,65.0,131,0,2.0,1350,1187
2008,1113,WashingtonState,BoiseState,BoiseState,WashingtonState,-7.5,86.0,74.0,132,0,12.0,1450,1129
2008,1113,Wyoming,DenverU,DenverU,Wyoming,-8.0,65.0,76.0,134.5,0,-11.0,1461,1176
2008,1113,Nevada,CalIrvine,CalIrvine,Nevada,-1.5,77.0,68.0,133,0,9.0,1305,1414
2008,1113,ChicagoSt.,MichiganState,MichiganState,MichiganState,26.0,53.0,86.0,145.5,0,-33.0,1152,1277
2008,1113,UTEP,TexasA&MCorpus,None,UTEP,-11.0,77.0,62.0,150.5,1,15.0,1431,1394
2008,1113,OralRoberts,TexasA&M,TexasA&M,TexasA&M,17.0,53.0,67.0,130,0,-14.0,1331,1401
2008,1113,DelawareState,Wisc-GreenBay,None,Wisc-GreenBay,7.0,50.0,70.0,121.5,1,-20.0,1175,1453
2008,1113,Columbia,OhioSt.,OhioSt.,OhioSt.,24.5,54.0,68.0,138.5,0,-14.0,1162,1326
2008,1113,St.Josephs,Syracuse,Syracuse,Syracuse,5.5,69.0,72.0,150,0,-3.0,1386,1393
2008,1113,FairDickinson,Siena,None,Siena,11.0,66.0,88.0,160.5,1,-22.0,1192,1373
2008,1113,Fordham,Missouri,Missouri,Missouri,9.0,55.0,79.0,152.5,0,-24.0,1200,1281
2008,1113,YoungstownSt.,WeberSt.,None,WeberSt.,3.5,69.0,66.0,137.5,1,3.0,1464,1451
2008,1113,HighPoint,UtahU,None,UtahU,6.5,64.0,77.0,137,1,-13.0,1219,1428
2008,1113,LoyolaChicago,EasternIllinois,None,LoyolaChicago,-1.5,72.0,65.0,132,1,7.0,1260,1183
2008,1113,NorthernArizona,Arizona,None,Arizona,21.5,69.0,76.0,153,1,-7.0,1319,1112
2008,1113,LongBeachState,MontanaState,None,MontanaState,10.0,56.0,74.0,134,1,-18.0,1253,1286
2008,1113,Xavier,MiamiOhio,MiamiOhio,Xavier,-4.5,57.0,59.0,127.5,0,-2.0,1462,1275
2008,1114,RhodeIsland,Brown,Brown,RhodeIsland,-5.0,75.0,61.0,140.5,0,14.0,1348,1135
2008,1114,WiscMilwaukee,BallState,BallState,WiscMilwaukee,-2.0,81.0,74.0,127.5,0,7.0,1454,1123
2008,1114,IndianaState,Butler,Butler,Butler,12.0,48.0,76.0,120.5,0,-28.0,1232,1139
2008,1114,DetroitU,SaintLouis,SaintLouis,SaintLouis,11.0,58.0,66.0,121.5,0,-8.0,1178,1387
2008,1114,Yale,Massachusetts,Massachusetts,Massachusetts,10.0,80.0,89.0,153,0,-9.0,1463,1269
2008,1114,OklahomaState,NorthTexas,NorthTexas,OklahomaState,-6.0,73.0,82.0,147.5,0,-9.0,1329,1317
2008,1114,IowaState,Bradley,Bradley,Bradley,10.0,56.0,65.0,133.5,0,-9.0,1235,1133
2008,1114,UCDavis,NewMexicoState,NewMexicoState,NewMexicoState,17.0,65.0,75.0,149,0,-10.0,1413,1308
2008,1114,SoMississippi,California,California,California,7.0,59.0,67.0,132.5,0,-8.0,1379,1143
2008,1114,ULMonroe,MichiganSt.,MichiganSt.,MichiganSt.,23.5,65.0,83.0,142.5,0,-18.0,1419,1277
